country,ISO3,year,co2_per_capita
Armenia,ARM,2009,1.4813764
Armenia,ARM,2010,1.450935
Armenia,ARM,2011,1.6997997
Armenia,ARM,2012,1.966913
Armenia,ARM,2013,1.8939363
Armenia,ARM,2014,1.9176472
Armenia,ARM,2015,1.8723351
Armenia,ARM,2016,1.7826151
Armenia,ARM,2017,1.9006206
Armenia,ARM,2018,2.0008378
Armenia,ARM,2019,2.164008
Armenia,ARM,2020,2.3506444
Armenia,ARM,2021,2.5840976
Armenia,ARM,2022,2.4869792
Armenia,ARM,2023,2.584923
Australia,AUS,2000,18.293966
Australia,AUS,2001,18.475426
Australia,AUS,2002,18.501194
Australia,AUS,2003,18.649893
Australia,AUS,2004,19.113388
Australia,AUS,2005,19.02867
Australia,AUS,2006,19.055374
Australia,AUS,2007,19.063927
Australia,AUS,2008,18.943853
Australia,AUS,2009,18.688644
Australia,AUS,2010,18.297338
Australia,AUS,2011,17.965439
Australia,AUS,2012,17.77464
Australia,AUS,2013,17.17437
Australia,AUS,2014,16.644192
Australia,AUS,2015,16.76538
Australia,AUS,2016,16.867634
Australia,AUS,2017,16.732754
Australia,AUS,2018,16.544464
Australia,AUS,2019,16.315792
Australia,AUS,2020,15.506062
Australia,AUS,2021,14.987446
Australia,AUS,2022,14.66979
Australia,AUS,2023,14.478505
Bangladesh,BGD,2000,0.19725306
Bangladesh,BGD,2001,0.22706808
Bangladesh,BGD,2002,0.23037542
Bangladesh,BGD,2003,0.2376082
Bangladesh,BGD,2004,0.25179237
Bangladesh,BGD,2005,0.26062736
Bangladesh,BGD,2006,0.2850008
Bangladesh,BGD,2007,0.28836748
Bangladesh,BGD,2008,0.3033399
Bangladesh,BGD,2009,0.3260236
Bangladesh,BGD,2010,0.35502523
Bangladesh,BGD,2011,0.36195287
Bangladesh,BGD,2012,0.38501218
Bangladesh,BGD,2013,0.41373494
Bangladesh,BGD,2014,0.42763647
Bangladesh,BGD,2015,0.482795
Bangladesh,BGD,2016,0.5084299
Bangladesh,BGD,2017,0.53352576
Bangladesh,BGD,2018,0.52965784
Bangladesh,BGD,2019,0.5748978
Bangladesh,BGD,2020,0.57399553
Bangladesh,BGD,2021,0.64190555
Bangladesh,BGD,2022,0.67221427
Bangladesh,BGD,2023,0.6615086
Bolivia,BOL,2000,0.97996825
Bolivia,BOL,2001,0.9988706
Bolivia,BOL,2002,1.1688838
Bolivia,BOL,2003,1.2118468
Bolivia,BOL,2004,1.1985703
Bolivia,BOL,2005,1.3153518
Bolivia,BOL,2006,1.2951919
Bolivia,BOL,2007,1.3107055
Bolivia,BOL,2008,1.3161584
Bolivia,BOL,2009,1.3516202
Bolivia,BOL,2010,1.4455271
Bolivia,BOL,2011,1.5411018
Bolivia,BOL,2012,1.6675287
Bolivia,BOL,2013,1.663367
Bolivia,BOL,2014,1.8331811
Bolivia,BOL,2015,1.8054603
Bolivia,BOL,2016,1.8997626
Bolivia,BOL,2017,1.9543539
Bolivia,BOL,2018,1.9549538
Bolivia,BOL,2019,1.9368082
Bolivia,BOL,2020,1.5497013
Bolivia,BOL,2021,1.8225433
Bolivia,BOL,2022,1.852948
Bolivia,BOL,2023,1.9078085
Brazil,BRA,2000,1.95487
Brazil,BRA,2001,1.9634924
Brazil,BRA,2002,1.9482261
Brazil,BRA,2003,1.908094
Brazil,BRA,2004,1.978562
Brazil,BRA,2005,1.9728998
Brazil,BRA,2006,1.9762388
Brazil,BRA,2007,2.071431
Brazil,BRA,2008,2.1675894
Brazil,BRA,2009,2.0292337
Brazil,BRA,2010,2.2729208
Brazil,BRA,2011,2.368747
Brazil,BRA,2012,2.5310798
Brazil,BRA,2013,2.6825008
Brazil,BRA,2014,2.7883189
Brazil,BRA,2015,2.6247764
Brazil,BRA,2016,2.4247255
Brazil,BRA,2017,2.4340897
Brazil,BRA,2018,2.3210206
Brazil,BRA,2019,2.281887
Brazil,BRA,2020,2.1336453
Brazil,BRA,2021,2.3765988
Brazil,BRA,2022,2.3006465
Brazil,BRA,2023,2.3040092
Canada,CAN,2000,18.330502
Canada,CAN,2001,17.888409
Canada,CAN,2002,17.87598
Canada,CAN,2003,18.243011
Canada,CAN,2004,18.024137
Canada,CAN,2005,17.658834
Canada,CAN,2006,17.343971
Canada,CAN,2007,17.88609
Canada,CAN,2008,17.213346
Canada,CAN,2009,16.046993
Canada,CAN,2010,16.221796
Canada,CAN,2011,16.301949
Canada,CAN,2012,16.156395
Canada,CAN,2013,16.117868
Canada,CAN,2014,15.896765
Canada,CAN,2015,15.728859
Canada,CAN,2016,15.3733425
Canada,CAN,2017,15.474789
Canada,CAN,2018,15.527008
Canada,CAN,2019,15.404461
Canada,CAN,2020,13.795024
Canada,CAN,2021,14.050852
Canada,CAN,2022,14.183269
Canada,CAN,2023,13.977411
Chile,CHL,2000,3.7734895
Chile,CHL,2001,3.3740773
Chile,CHL,2002,3.457938
Chile,CHL,2003,3.4384542
Chile,CHL,2004,3.658951
Chile,CHL,2005,3.7389753
Chile,CHL,2006,3.8797834
Chile,CHL,2007,4.227355
Chile,CHL,2008,4.189846
Chile,CHL,2009,3.8777807
Chile,CHL,2010,4.1525984
Chile,CHL,2011,4.499339
Chile,CHL,2012,4.54481
Chile,CHL,2013,4.6213045
Chile,CHL,2014,4.3433294
Chile,CHL,2015,4.5314765
Chile,CHL,2016,4.612125
Chile,CHL,2017,4.5336003
Chile,CHL,2018,4.4692864
Chile,CHL,2019,4.791046
Chile,CHL,2020,4.1391754
Chile,CHL,2021,4.29965
Chile,CHL,2022,4.221193
Chile,CHL,2023,3.9314575
China,CHN,2000,2.8743548
China,CHN,2001,2.9158025
China,CHN,2002,3.1884003
China,CHN,2003,3.7397096
China,CHN,2004,4.0068736
China,CHN,2005,4.4900646
China,CHN,2006,4.9272113
China,CHN,2007,5.267368
China,CHN,2008,5.6240664
China,CHN,2009,5.877799
China,CHN,2010,6.3782344
China,CHN,2011,7.0077763
China,CHN,2012,7.140667
China,CHN,2013,7.2199216
China,CHN,2014,7.1978407
China,CHN,2015,7.0648346
China,CHN,2016,6.9532394
China,CHN,2017,7.084865
China,CHN,2018,7.2818375
China,CHN,2019,7.5264006
China,CHN,2020,7.6471825
China,CHN,2021,8.025529
China,CHN,2022,7.964287
China,CHN,2023,8.366814
Colombia,COL,2000,1.4477241
Colombia,COL,2001,1.4316118
Colombia,COL,2002,1.3862796
Colombia,COL,2003,1.4016063
Colombia,COL,2004,1.3154225
Colombia,COL,2005,1.4280355
Colombia,COL,2006,1.4594254
Colombia,COL,2007,1.3991219
Colombia,COL,2008,1.5302994
Colombia,COL,2009,1.6367329
Colombia,COL,2010,1.7032403
Colombia,COL,2011,1.6841562
Colombia,COL,2012,1.7555273
Colombia,COL,2013,1.90903
Colombia,COL,2014,2.0203397
Colombia,COL,2015,2.0877993
Colombia,COL,2016,1.9859419
Colombia,COL,2017,1.7994725
Colombia,COL,2018,1.7691385
Colombia,COL,2019,1.893445
Colombia,COL,2020,1.7723011
Colombia,COL,2021,1.842679
Colombia,COL,2022,1.8998168
Colombia,COL,2023,2.0114
Cyprus,CYP,2000,7.494742
Cyprus,CYP,2001,7.2359786
Cyprus,CYP,2002,7.3029137
Cyprus,CYP,2003,7.56069
Cyprus,CYP,2004,7.6503687
Cyprus,CYP,2005,7.68084
Cyprus,CYP,2006,7.7637644
Cyprus,CYP,2007,7.928219
Cyprus,CYP,2008,7.989783
Cyprus,CYP,2009,7.636368
Cyprus,CYP,2010,7.184269
Cyprus,CYP,2011,6.7939243
Cyprus,CYP,2012,6.2332525
Cyprus,CYP,2013,5.561407
Cyprus,CYP,2014,5.7849126
Cyprus,CYP,2015,5.718032
Cyprus,CYP,2016,5.9616704
Cyprus,CYP,2017,5.9838886
Cyprus,CYP,2018,5.7629395
Cyprus,CYP,2019,5.70816
Cyprus,CYP,2020,5.3869967
Cyprus,CYP,2021,5.443375
Cyprus,CYP,2022,5.40629
Cyprus,CYP,2023,5.3342433
Czechia,CZE,2000,12.429346
Czechia,CZE,2001,12.42629
Czechia,CZE,2002,12.106914
Czechia,CZE,2003,12.447432
Czechia,CZE,2004,12.502356
Czechia,CZE,2005,12.226614
Czechia,CZE,2006,12.27974
Czechia,CZE,2007,12.4175625
Czechia,CZE,2008,11.845438
Czechia,CZE,2009,11.033807
Czechia,CZE,2010,11.2267275
Czechia,CZE,2011,10.975148
Czechia,CZE,2012,10.591444
Czechia,CZE,2013,10.153296
Czechia,CZE,2014,9.911981
Czechia,CZE,2015,9.976934
Czechia,CZE,2016,10.126231
Czechia,CZE,2017,10.221304
Czechia,CZE,2018,10.080272
Czechia,CZE,2019,9.569924
Czechia,CZE,2020,8.689388
Czechia,CZE,2021,9.17754
Czechia,CZE,2022,8.91092
Czechia,CZE,2023,7.92107
Ecuador,ECU,2000,1.6492264
Ecuador,ECU,2001,1.8130603
Ecuador,ECU,2002,1.8896518
Ecuador,ECU,2003,2.0244603
Ecuador,ECU,2004,2.149964
Ecuador,ECU,2005,2.2092562
Ecuador,ECU,2006,2.1077354
Ecuador,ECU,2007,2.3923388
Ecuador,ECU,2008,2.07987
Ecuador,ECU,2009,2.266208
Ecuador,ECU,2010,2.4061325
Ecuador,ECU,2011,2.4966385
Ecuador,ECU,2012,2.4022887
Ecuador,ECU,2013,2.5086834
Ecuador,ECU,2014,2.7272305
Ecuador,ECU,2015,2.53752
Ecuador,ECU,2016,2.3845396
Ecuador,ECU,2017,2.3374374
Ecuador,ECU,2018,2.2539744
Ecuador,ECU,2019,2.3103745
Ecuador,ECU,2020,1.8756075
Ecuador,ECU,2021,2.16058
Ecuador,ECU,2022,2.2734714
Ecuador,ECU,2023,2.4011562
Egypt,EGY,2000,1.9681126
Egypt,EGY,2001,1.710022
Egypt,EGY,2002,1.6940784
Egypt,EGY,2003,1.9256603
Egypt,EGY,2004,1.9197372
Egypt,EGY,2005,2.0741656
Egypt,EGY,2006,2.1667883
Egypt,EGY,2007,2.2403135
Egypt,EGY,2008,2.3027816
Egypt,EGY,2009,2.3597047
Egypt,EGY,2010,2.282698
Egypt,EGY,2011,2.3812723
Egypt,EGY,2012,2.2942393
Egypt,EGY,2013,2.2176762
Egypt,EGY,2014,2.3264904
Egypt,EGY,2015,2.253874
Egypt,EGY,2016,2.3550935
Egypt,EGY,2017,2.513841
Egypt,EGY,2018,2.358181
Egypt,EGY,2019,2.4057102
Egypt,EGY,2020,2.1530209
Egypt,EGY,2021,2.3516853
Egypt,EGY,2022,2.4078574
Egypt,EGY,2023,2.3486664
Ethiopia,ETH,2000,0.051368944
Ethiopia,ETH,2001,0.061371796
Ethiopia,ETH,2002,0.061864417
Ethiopia,ETH,2003,0.06596316
Ethiopia,ETH,2004,0.067806825
Ethiopia,ETH,2005,0.06324222
Ethiopia,ETH,2006,0.06589777
Ethiopia,ETH,2007,0.070269234
Ethiopia,ETH,2008,0.07502134
Ethiopia,ETH,2009,0.07332829
Ethiopia,ETH,2010,0.07007186
Ethiopia,ETH,2011,0.079547115
Ethiopia,ETH,2012,0.08411428
Ethiopia,ETH,2013,0.09995026
Ethiopia,ETH,2014,0.11542686
Ethiopia,ETH,2015,0.122264124
Ethiopia,ETH,2016,0.13582079
Ethiopia,ETH,2017,0.1347171
Ethiopia,ETH,2018,0.1401208
Ethiopia,ETH,2019,0.14892082
Ethiopia,ETH,2020,0.13328455
Ethiopia,ETH,2021,0.13231507
Ethiopia,ETH,2022,0.12088377
Ethiopia,ETH,2023,0.118322685
Germany,DEU,2000,10.9903
Germany,DEU,2001,11.170657
Germany,DEU,2002,10.952274
Germany,DEU,2003,10.893729
Germany,DEU,2004,10.677811
Germany,DEU,2005,10.577888
Germany,DEU,2006,10.849614
Germany,DEU,2007,10.407525
Germany,DEU,2008,10.560963
Germany,DEU,2009,9.760283
Germany,DEU,2010,10.227281
Germany,DEU,2011,9.949733
Germany,DEU,2012,10.060888
Germany,DEU,2013,10.263168
Germany,DEU,2014,9.739707
Germany,DEU,2015,9.7571745
Germany,DEU,2016,9.642498
Germany,DEU,2017,9.441113
Germany,DEU,2018,9.116714
Germany,DEU,2019,8.494904
Germany,DEU,2020,7.752807
Germany,DEU,2021,8.109933
Germany,DEU,2022,7.9855165
Germany,DEU,2023,7.051025
Greece,GRC,2000,9.549958
Greece,GRC,2001,9.716937
Greece,GRC,2002,9.641713
Greece,GRC,2003,9.989241
Greece,GRC,2004,10.0011015
Greece,GRC,2005,10.3711815
Greece,GRC,2006,10.20506
Greece,GRC,2007,10.370174
Greece,GRC,2008,10.028189
Greece,GRC,2009,9.391401
Greece,GRC,2010,8.751235
Greece,GRC,2011,8.507247
Greece,GRC,2012,8.2721405
Greece,GRC,2013,7.4505033
Greece,GRC,2014,7.218839
Greece,GRC,2015,6.92429
Greece,GRC,2016,6.6224217
Greece,GRC,2017,6.9597645
Greece,GRC,2018,6.6889873
Greece,GRC,2019,6.132962
Greece,GRC,2020,5.192684
Greece,GRC,2021,5.436849
Greece,GRC,2022,5.577904
Greece,GRC,2023,5.388754
Guatemala,GTM,2000,0.83477026
Guatemala,GTM,2001,0.85495406
Guatemala,GTM,2002,0.87546104
Guatemala,GTM,2003,0.83411527
Guatemala,GTM,2004,0.87295973
Guatemala,GTM,2005,0.92524856
Guatemala,GTM,2006,0.91091365
Guatemala,GTM,2007,0.88960725
Guatemala,GTM,2008,0.7817055
Guatemala,GTM,2009,0.80489516
Guatemala,GTM,2010,0.76535326
Guatemala,GTM,2011,0.75968486
Guatemala,GTM,2012,0.76719433
Guatemala,GTM,2013,0.83261454
Guatemala,GTM,2014,0.88173604
Guatemala,GTM,2015,0.99876
Guatemala,GTM,2016,1.0404326
Guatemala,GTM,2017,1.045464
Guatemala,GTM,2018,1.0995575
Guatemala,GTM,2019,1.128632
Guatemala,GTM,2020,0.9889047
Guatemala,GTM,2021,1.1253756
Guatemala,GTM,2022,1.070928
Guatemala,GTM,2023,1.1245548
Hong Kong,HKG,2000,6.0082116
Hong Kong,HKG,2001,5.58025
Hong Kong,HKG,2002,5.788446
Hong Kong,HKG,2003,6.2987537
Hong Kong,HKG,2004,6.034957
Hong Kong,HKG,2005,6.3300304
Hong Kong,HKG,2006,6.047403
Hong Kong,HKG,2007,6.250267
Hong Kong,HKG,2008,6.0949697
Hong Kong,HKG,2009,5.8857503
Hong Kong,HKG,2010,5.6414247
Hong Kong,HKG,2011,6.0409045
Hong Kong,HKG,2012,5.935563
Hong Kong,HKG,2013,6.099286
Hong Kong,HKG,2014,6.2151847
Hong Kong,HKG,2015,5.755893
Hong Kong,HKG,2016,5.8539495
Hong Kong,HKG,2017,5.699413
Hong Kong,HKG,2018,5.702032
Hong Kong,HKG,2019,5.597313
Hong Kong,HKG,2020,4.472128
Hong Kong,HKG,2021,4.504877
Hong Kong,HKG,2022,4.2234635
Hong Kong,HKG,2023,4.550918
India,IND,2000,0.9324355
India,IND,2001,0.9282198
India,IND,2002,0.9403603
India,IND,2003,0.95606565
India,IND,2004,0.99809515
India,IND,2005,1.0345691
India,IND,2006,1.1019763
India,IND,2007,1.1695088
India,IND,2008,1.2330486
India,IND,2009,1.3155315
India,IND,2010,1.348904
India,IND,2011,1.3992052
India,IND,2012,1.5060126
India,IND,2013,1.5396302
India,IND,2014,1.6371114
India,IND,2015,1.6823633
India,IND,2016,1.7520504
India,IND,2017,1.7847193
India,IND,2018,1.886328
India,IND,2019,1.8810879
India,IND,2020,1.7264521
India,IND,2021,1.8909733
India,IND,2022,1.9861935
India,IND,2023,2.129469
Indonesia,IDN,2000,1.3019868
Indonesia,IDN,2001,1.4469663
Indonesia,IDN,2002,1.3890227
Indonesia,IDN,2003,1.507934
Indonesia,IDN,2004,1.5049647
Indonesia,IDN,2005,1.5056726
Indonesia,IDN,2006,1.481646
Indonesia,IDN,2007,1.6361018
Indonesia,IDN,2008,1.5228248
Indonesia,IDN,2009,1.640252
Indonesia,IDN,2010,1.8099737
Indonesia,IDN,2011,2.0071535
Indonesia,IDN,2012,2.041778
Indonesia,IDN,2013,1.9114735
Indonesia,IDN,2014,1.8846375
Indonesia,IDN,2015,2.0593998
Indonesia,IDN,2016,2.0409288
Indonesia,IDN,2017,2.0832288
Indonesia,IDN,2018,2.2007682
Indonesia,IDN,2019,2.3993292
Indonesia,IDN,2020,2.213211
Indonesia,IDN,2021,2.23886
Indonesia,IDN,2022,2.6434436
Indonesia,IDN,2023,2.6075745
Iran,IRN,2000,5.528771
Iran,IRN,2001,5.780545
Iran,IRN,2002,5.8377304
Iran,IRN,2003,5.9760203
Iran,IRN,2004,6.292953
Iran,IRN,2005,6.4986024
Iran,IRN,2006,6.8265424
Iran,IRN,2007,6.806395
Iran,IRN,2008,6.9991584
Iran,IRN,2009,7.107359
Iran,IRN,2010,7.2525234
Iran,IRN,2011,7.3503466
Iran,IRN,2012,7.5484037
Iran,IRN,2013,7.5836825
Iran,IRN,2014,7.903496
Iran,IRN,2015,7.7695036
Iran,IRN,2016,7.692004
Iran,IRN,2017,8.190366
Iran,IRN,2018,8.009745
Iran,IRN,2019,8.447259
Iran,IRN,2020,8.62491
Iran,IRN,2021,8.815236
Iran,IRN,2022,8.944471
Iran,IRN,2023,9.026508
Iraq,IRQ,2000,3.4091678
Iraq,IRQ,2001,3.8230426
Iraq,IRQ,2002,3.712144
Iraq,IRQ,2003,3.7782464
Iraq,IRQ,2004,4.0903525
Iraq,IRQ,2005,4.013732
Iraq,IRQ,2006,3.444312
Iraq,IRQ,2007,2.1515615
Iraq,IRQ,2008,3.242491
Iraq,IRQ,2009,3.4870865
Iraq,IRQ,2010,3.657115
Iraq,IRQ,2011,3.822515
Iraq,IRQ,2012,3.9644012
Iraq,IRQ,2013,3.9978693
Iraq,IRQ,2014,3.7488654
Iraq,IRQ,2015,3.780211
Iraq,IRQ,2016,3.962143
Iraq,IRQ,2017,4.237806
Iraq,IRQ,2018,4.5889473
Iraq,IRQ,2019,4.6182113
Iraq,IRQ,2020,3.825463
Iraq,IRQ,2021,3.6926064
Iraq,IRQ,2022,3.8864813
Iraq,IRQ,2023,3.9148493
Ireland,IRL,2000,11.899826
Ireland,IRL,2001,12.324259
Ireland,IRL,2002,11.730362
Ireland,IRL,2003,11.441362
Ireland,IRL,2004,11.354304
Ireland,IRL,2005,11.58845
Ireland,IRL,2006,11.150147
Ireland,IRL,2007,10.847193
Ireland,IRL,2008,10.557134
Ireland,IRL,2009,9.306159
Ireland,IRL,2010,9.166745
Ireland,IRL,2011,8.309568
Ireland,IRL,2012,8.309446
Ireland,IRL,2013,8.060954
Ireland,IRL,2014,7.910841
Ireland,IRL,2015,8.233164
Ireland,IRL,2016,8.4921
Ireland,IRL,2017,8.123473
Ireland,IRL,2018,8.006022
Ireland,IRL,2019,7.5653806
Ireland,IRL,2020,7.0494823
Ireland,IRL,2021,7.4664645
Ireland,IRL,2022,7.1842723
Ireland,IRL,2023,6.6260405
Japan,JPN,2000,9.950527
Japan,JPN,2001,9.817637
Japan,JPN,2002,10.032547
Japan,JPN,2003,10.084459
Japan,JPN,2004,10.037065
Japan,JPN,2005,10.087274
Japan,JPN,2006,9.900961
Japan,JPN,2007,10.172693
Japan,JPN,2008,9.614815
Japan,JPN,2009,9.075361
Japan,JPN,2010,9.476896
Japan,JPN,2011,9.873789
Japan,JPN,2012,10.20883
Japan,JPN,2013,10.298001
Japan,JPN,2014,9.913247
Japan,JPN,2015,9.610619
Japan,JPN,2016,9.461977
Japan,JPN,2017,9.345515
Japan,JPN,2018,9.002051
Japan,JPN,2019,8.725205
Japan,JPN,2020,8.237897
Japan,JPN,2021,8.449326
Japan,JPN,2022,8.261658
Japan,JPN,2023,7.95029
Jordan,JOR,2000,2.821703
Jordan,JOR,2001,2.8386834
Jordan,JOR,2002,2.9238546
Jordan,JOR,2003,2.957647
Jordan,JOR,2004,3.1742003
Jordan,JOR,2005,3.3894367
Jordan,JOR,2006,3.1936147
Jordan,JOR,2007,3.139871
Jordan,JOR,2008,2.9640238
Jordan,JOR,2009,2.9876187
Jordan,JOR,2010,2.8251805
Jordan,JOR,2011,2.8399298
Jordan,JOR,2012,3.1388326
Jordan,JOR,2013,2.9803483
Jordan,JOR,2014,2.9458408
Jordan,JOR,2015,2.676875
Jordan,JOR,2016,2.4682727
Jordan,JOR,2017,2.522286
Jordan,JOR,2018,2.4031124
Jordan,JOR,2019,2.3188925
Jordan,JOR,2020,1.9291415
Jordan,JOR,2021,1.8649886
Jordan,JOR,2022,1.799406
Jordan,JOR,2023,1.8523093
Kazakhstan,KAZ,2000,9.249703
Kazakhstan,KAZ,2001,8.90941
Kazakhstan,KAZ,2002,10.061223
Kazakhstan,KAZ,2003,11.167269
Kazakhstan,KAZ,2004,11.757366
Kazakhstan,KAZ,2005,12.527624
Kazakhstan,KAZ,2006,13.69717
Kazakhstan,KAZ,2007,13.947366
Kazakhstan,KAZ,2008,13.808861
Kazakhstan,KAZ,2009,13.510977
Kazakhstan,KAZ,2010,14.777387
Kazakhstan,KAZ,2011,14.003776
Kazakhstan,KAZ,2012,14.234627
Kazakhstan,KAZ,2013,14.533967
Kazakhstan,KAZ,2014,15.395486
Kazakhstan,KAZ,2015,15.409165
Kazakhstan,KAZ,2016,15.122116
Kazakhstan,KAZ,2017,15.734422
Kazakhstan,KAZ,2018,16.22455
Kazakhstan,KAZ,2019,14.330919
Kazakhstan,KAZ,2020,13.113933
Kazakhstan,KAZ,2021,12.92284
Kazakhstan,KAZ,2022,12.69876
Kazakhstan,KAZ,2023,12.550943
Kenya,KEN,2000,0.33968258
Kenya,KEN,2001,0.29342595
Kenya,KEN,2002,0.24182516
Kenya,KEN,2003,0.19901958
Kenya,KEN,2004,0.21864069
Kenya,KEN,2005,0.2389887
Kenya,KEN,2006,0.25920096
Kenya,KEN,2007,0.2582699
Kenya,KEN,2008,0.2609983
Kenya,KEN,2009,0.30544478
Kenya,KEN,2010,0.29239404
Kenya,KEN,2011,0.31450152
Kenya,KEN,2012,0.28494468
Kenya,KEN,2013,0.29915425
Kenya,KEN,2014,0.3155505
Kenya,KEN,2015,0.36099055
Kenya,KEN,2016,0.37670648
Kenya,KEN,2017,0.35996416
Kenya,KEN,2018,0.37520593
Kenya,KEN,2019,0.38661912
Kenya,KEN,2020,0.4209686
Kenya,KEN,2021,0.41928962
Kenya,KEN,2022,0.39440462
Kenya,KEN,2023,0.38907567
Kyrgyzstan,KGZ,2000,0.91048133
Kyrgyzstan,KGZ,2001,0.7604119
Kyrgyzstan,KGZ,2002,0.9611124
Kyrgyzstan,KGZ,2003,1.0418925
Kyrgyzstan,KGZ,2004,1.1163111
Kyrgyzstan,KGZ,2005,1.0519956
Kyrgyzstan,KGZ,2006,1.0337402
Kyrgyzstan,KGZ,2007,1.2275326
Kyrgyzstan,KGZ,2008,1.4002646
Kyrgyzstan,KGZ,2009,1.2429305
Kyrgyzstan,KGZ,2010,1.1573167
Kyrgyzstan,KGZ,2011,1.3620855
Kyrgyzstan,KGZ,2012,1.7706912
Kyrgyzstan,KGZ,2013,1.6790403
Kyrgyzstan,KGZ,2014,1.7354872
Kyrgyzstan,KGZ,2015,1.7102784
Kyrgyzstan,KGZ,2016,1.5751518
Kyrgyzstan,KGZ,2017,1.5049132
Kyrgyzstan,KGZ,2018,1.7616013
Kyrgyzstan,KGZ,2019,1.3925191
Kyrgyzstan,KGZ,2020,1.2527564
Kyrgyzstan,KGZ,2021,1.5140777
Kyrgyzstan,KGZ,2022,1.442273
Kyrgyzstan,KGZ,2023,1.4352694
Lebanon,LBN,2000,3.5724654
Lebanon,LBN,2001,3.7271936
Lebanon,LBN,2002,3.6392775
Lebanon,LBN,2003,4.0943937
Lebanon,LBN,2004,3.7415802
Lebanon,LBN,2005,3.5645452
Lebanon,LBN,2006,3.1134667
Lebanon,LBN,2007,2.837716
Lebanon,LBN,2008,3.5363784
Lebanon,LBN,2009,4.1980224
Lebanon,LBN,2010,3.9666011
Lebanon,LBN,2011,3.976507
Lebanon,LBN,2012,4.2653465
Lebanon,LBN,2013,3.858941
Lebanon,LBN,2014,3.7800877
Lebanon,LBN,2015,3.9760313
Lebanon,LBN,2016,4.1817923
Lebanon,LBN,2017,4.5168343
Lebanon,LBN,2018,4.371076
Lebanon,LBN,2019,4.4285336
Lebanon,LBN,2020,4.1763225
Lebanon,LBN,2021,3.373741
Lebanon,LBN,2022,3.2940342
Lebanon,LBN,2023,3.3732815
Libya,LBY,2000,10.0356045
Libya,LBY,2001,9.829333
Libya,LBY,2002,9.535499
Libya,LBY,2003,9.872539
Libya,LBY,2004,9.910034
Libya,LBY,2005,9.555894
Libya,LBY,2006,8.992503
Libya,LBY,2007,7.2721925
Libya,LBY,2008,7.9705105
Libya,LBY,2009,8.108939
Libya,LBY,2010,9.102793
Libya,LBY,2011,8.440933
Libya,LBY,2012,9.969848
Libya,LBY,2013,8.143893
Libya,LBY,2014,10.634219
Libya,LBY,2015,9.590622
Libya,LBY,2016,9.072769
Libya,LBY,2017,10.325419
Libya,LBY,2018,9.537564
Libya,LBY,2019,10.969283
Libya,LBY,2020,4.859569
Libya,LBY,2021,7.924283
Libya,LBY,2022,7.966225
Libya,LBY,2023,8.346452
Malaysia,MYS,2000,5.3500233
Malaysia,MYS,2001,5.563517
Malaysia,MYS,2002,5.478087
Malaysia,MYS,2003,6.2150364
Malaysia,MYS,2004,6.7181454
Malaysia,MYS,2005,6.5786943
Malaysia,MYS,2006,6.4413414
Malaysia,MYS,2007,6.4985785
Malaysia,MYS,2008,6.994816
Malaysia,MYS,2009,6.830967
Malaysia,MYS,2010,6.9565897
Malaysia,MYS,2011,6.976631
Malaysia,MYS,2012,7.180377
Malaysia,MYS,2013,8.009191
Malaysia,MYS,2014,7.9830947
Malaysia,MYS,2015,7.5541906
Malaysia,MYS,2016,7.464497
Malaysia,MYS,2017,7.5553236
