表２　初任給関係職種の職種別事業所数等及び平均初任給月額,,,,,,,,,,
職種名（学歴）,調査事業所数,調査事業所数（復元後）,平均初任給月額・企業規模計,「平均初任給月額・企業規模計」の備考,平均初任給月額・企業規模500人以上,「平均初任給月額・企業規模500人以上」の備考,平均初任給月額・企業規模100人以上500人未満,「平均初任給月額・企業規模100人以上500人未満」の備考,平均初任給月額・企業規模50人以上100人未満,「平均初任給月額・企業規模50人以上100人未満」の備考
,所,所,円,,円,,円,,円,
新卒事務員（大学院博士課程修了）,17,141,259245,,273755,,226356,*,***,
新卒事務員（大学院修士課程修了）,222,1614,233806,,240572,,227706,,212799,
新卒事務員（大学卒）,1968,12476,211094,,214418,,207301,,209280,
新卒事務員（短大卒）,451,2634,184336,,187052,,181785,,183421,
新卒事務員（高校卒）,791,4039,173442,,176228,,171834,,169638,
新卒技術者（大学院博士課程修了）,40,260,276278,,291162,,248318,*,X,
新卒技術者（大学院修士課程修了）,566,3608,239965,,246309,,232493,,218601,
新卒技術者（大学卒）,1223,7635,215365,,222712,,212648,,203552,
新卒技術者（短大卒）,514,3069,197063,,202243,,193734,,190593,
新卒技術者（高校卒）,1048,5473,176793,,178723,,175346,,175791,
新卒研究員（大学院博士課程修了）,12,53,272500,,273826,*,265861,*,***,
新卒研究員（大学院修士課程修了）,61,286,243822,,246730,,235452,,***,
新卒研究員（大学卒）,26,128,219146,,222868,,215945,*,X,
新卒研究補助員（短大卒）,5,11,192749,*,193341,*,X,,***,
新卒研究補助員（高校卒）,10,46,172966,*,175778,*,171885,*,***,
準新卒医師,26,229,404210,,408244,,327575,*,***,
準新卒薬剤師,32,315,230462,,229941,,234248,*,***,
準新卒診療放射線技師 ,12,119,211337,,202324,*,223942,*,***,
新卒栄養士（大学卒）,46,525,191418,,198789,,182447,,***,
新卒栄養士（短大卒）,11,79,166270,,167282,*,161370,*,***,
準新卒看護師,177,1696,217012,,221236,,212791,,X,
準新卒准看護師,23,262,182737,,191228,*,176726,,***,
新卒大学助教（大学院博士課程修了）,7,20,295826,*,306706,*,287899,*,***,
新卒大学助教（大学院修士課程修了）,2,7,263600,*,X,,X,,***,
新卒大学助教（大学卒）,2,8,321894,*,X,,X,,***,
新卒高等学校教諭（大学院修士課程修了）,4,17,256230,*,***,,256230,*,***,
新卒高等学校教諭（大学卒）,24,74,216137,,233650,*,213603,,***,
新卒船員（海上技術学校本科卒 ）,1,5,X,,***,,***,,X,
(注)１　平均初任給月額は、採用のある事業所の平均である。２　「準新卒」とは、令和４年度中に資格免許を取得し、令和５年４月までの間に採用された場合をいう。なお、医師については、令和２年３月大学卒業後、令和２年度中に免許を取得し、２年間の臨床研修を修了した後、令和５年４月までの間に採用された者に限っている。３　「*」は、調査事業所が10事業所以下であることを示す。,,,,,,,,,,
